totales,manana,tarde,noche,madrugada
1900578,436057,595010,489833,310654
2595733,618923,875421,665192,363864
2662186,638366,902685,654378,385387
1891696,415399,716962,498415,208537
2416640,517310,918030,630467,272724
2642589,570061,1001866,687640,318285
2240921,425558,846119,616029,297311
2613253,518884,946773,722394,349974
2204692,433291,737006,639400,345008
2312757,488483,750287,693965,330263
3252110,621159,1042893,1048392,473779
3853923,703472,1249950,1260912,568291
2386909,713020,690596,591886,330039
2886517,742853,929434,725868,401535
3059545,728523,1102292,749745,392145
2235361,557104,761032,592966,259901
2870411,632248,1076456,739656,343649
3330756,729276,1226631,841103,449147
2372528,440907,883201,637622,360521
2979576,686497,1066192,812485,348635
2865489,613080,1012124,798175,390695
3028699,611088,917057,935689,484476
3848295,757338,1310909,1192549,502835
4584589,936710,1360069,1547916,629366
2292100,684915,701269,567725,272901
3081231,752470,1135141,762510,368774
3293042,777242,1195856,851279,399039
2269956,492683,896546,580874,247459
3060267,699536,1242119,721824,310448
3270875,677744,1250771,832187,419662
2453790,520057,980378,609543,291644
3014002,697091,963807,949698,345773
2682240,604238,977868,724186,316422
2615913,572574,978351,672905,332259
3854426,868902,1294072,1122037,496145
4741254,974301,1528753,1580274,569472
1896804,488622,626314,477034,237578
2523387,625894,813647,646938,364931
2427545,555420,922110,548396,331295
1910385,450364,734626,468240,203253
2596897,600364,947715,644155,329442
2986831,626423,1202689,714681,363635
2038857,392491,780865,541204,237495
2254645,455760,855107,601868,274357
2506843,511596,818195,784100,319451
2451868,535991,869277,714901,276147
3596627,785823,1185583,1107509,435524
4102388,861952,1336940,1268324,505041
2007182,550516,675807,474665,234684
2467860,584819,885134,576140,323051
2590173,615287,981869,589830,331922
1897141,483438,702802,431198,224085
2606136,624677,1019930,585386,291804
3052136,676294,1212804,694995,377327
2234930,469312,910550,530283,254946
2345073,502296,902055,578260,285971
2559188,562010,946035,657449,326930
2674830,550987,993257,763644,302956
3809736,893533,1230281,1113763,482318
4391401,973240,1454235,1340702,509365
2255291,630135,690648,547216,286756
2758080,639683,1005062,679399,334926
2702202,618270,999443,635284,339961
2114864,410965,808216,580048,226233
2840673,682858,1099588,677148,297847
3173103,635088,1269118,779167,388841
2331001,476305,866529,590465,309236
2692241,542708,994529,738413,312785
2989031,554100,1095553,900285,357896
3147699,671306,1140895,835611,419419
4095794,814288,1474337,1177881,527861
4452186,936926,1521166,1330033,520471
2330040,639907,686255,570133,320811
2760036,652516,908841,723270,373301
3136834,778740,1185626,685124,381072
2066958,496757,733646,485610,264406
2858765,750190,1054469,658680,308896
3127512,675845,1215220,735922,382104
2423601,547193,899701,606122,295425
2578603,557647,972390,647775,312772
2692431,548328,1008914,715583,320444
2699435,586315,941650,743844,343719
3767985,815826,1328540,1061580,432362
4303854,998490,1381787,1280706,504194
2300309,600553,861849,488866,292744
2963248,650889,1202141,658259,342526
2952823,772109,1069993,681698,331971
2144817,550378,830361,461678,234348
2603445,550596,1111551,570694,303022
2866092,632011,1096419,688764,361601
2167232,461001,889460,489263,239662
2218609,414805,939685,546208,248592
2358476,458502,931083,612085,293175
2454378,563910,891631,656095,267146
3334720,743913,1200541,949688,355830
3453767,729480,1147602,1044254,436461
