,mes,Robo_total_de_vehículo,Robo_parcial_de_vehículo,Vandalismo,Robo_en_casa_habitación,Robo_asalto_en_la_calle,Otros_robos,Fraude_bancario,Fraude_al_consumidor,Extorsión,Amenazas,Agresión_física,Secuestro,Hostigamiento_sexual,Violación_sexual,Otros,total
ene. 2019,ene. 2019,55410,185970,182681,124082,591161,74142,186421,106629,288679,236877,76089,1674,175521,6927,8046,2300309
feb. 2019,feb. 2019,78790,273291,215370,137262,767891,77509,248788,156980,421163,223626,90286,24172,238142,7301,2677,2963248
mar. 2019,mar. 2019,63093,288800,228568,167751,715795,84226,239130,169213,480729,237708,72707,10164,174162,14293,6484,2952823
abr. 2019,abr. 2019,42417,190627,159979,122523,555979,70645,208605,94562,259873,173785,94208,3543,161562,2094,4415,2144817
may. 2019,may. 2019,46878,236017,191909,148177,710044,70469,213322,176301,358988,188141,95321,4927,148256,11250,3445,2603445
jun. 2019,jun. 2019,63132,259513,215902,171718,644790,92239,245245,135347,510506,261422,85908,8097,157653,6815,7805,2866092
jul. 2019,jul. 2019,44443,172323,154661,142891,527744,77681,218982,95751,351714,134701,69619,9076,151435,13123,3088,2167232
ago. 2019,ago. 2019,38884,178837,152774,127840,484218,85136,215516,115145,330393,190316,78244,7130,199488,2980,11708,2218609
sep. 2019,sep. 2019,39516,207224,156636,115087,627147,67922,202817,104684,308582,252714,93187,18258,153093,1854,9755,2358476
oct. 2019,oct. 2019,40420,222350,143254,142578,696700,82967,215265,102953,315631,226892,67838,2705,185916,4527,4382,2454378
nov. 2019,nov. 2019,67038,259079,204429,209539,839819,115574,297788,193667,420393,274428,132410,6712,285509,10224,18111,3334720
dic. 2019,dic. 2019,53930,261835,204720,205733,861550,116764,297410,233877,425438,335929,131096,8321,282120,15364,19680,3453767
