"Fecha","Total"
"2020-02-24",1
"2020-03-03",1
"2020-03-13",1
"2020-03-17",2
"2020-03-18",3
"2020-03-20",1
"2020-03-22",2
"2020-03-23",1
"2020-03-24",2
"2020-03-25",2
"2020-03-26",8
"2020-03-27",8
"2020-03-28",15
"2020-03-29",9
"2020-03-30",12
"2020-03-31",22
"2020-04-01",20
"2020-04-02",27
"2020-04-03",33
"2020-04-04",34
"2020-04-05",31
"2020-04-06",53
"2020-04-07",56
"2020-04-08",49
"2020-04-09",55
"2020-04-10",71
"2020-04-11",71
"2020-04-12",73
"2020-04-13",87
"2020-04-14",96
"2020-04-15",99
"2020-04-16",90
"2020-04-17",118
"2020-04-18",120
"2020-04-19",148
"2020-04-20",176
"2020-04-21",177
"2020-04-22",174
"2020-04-23",185
"2020-04-24",220
"2020-04-25",239
"2020-04-26",261
"2020-04-27",230
"2020-04-28",241
"2020-04-29",313
"2020-04-30",289
"2020-05-01",336
"2020-05-02",296
"2020-05-03",285
"2020-05-04",357
"2020-05-05",342
"2020-05-06",328
"2020-05-07",317
"2020-05-08",350
"2020-05-09",343
"2020-05-10",348
"2020-05-11",371
"2020-05-12",394
"2020-05-13",408
"2020-05-14",458
"2020-05-15",465
"2020-05-16",436
"2020-05-17",500
"2020-05-18",500
"2020-05-19",503
"2020-05-20",491
"2020-05-21",492
"2020-05-22",481
"2020-05-23",469
"2020-05-24",518
"2020-05-25",544
"2020-05-26",540
"2020-05-27",518
"2020-05-28",538
"2020-05-29",496
"2020-05-30",534
"2020-05-31",569
"2020-06-01",613
"2020-06-02",567
"2020-06-03",610
"2020-06-04",593
"2020-06-05",555
"2020-06-06",601
"2020-06-07",638
"2020-06-08",688
"2020-06-09",635
"2020-06-10",655
"2020-06-11",611
"2020-06-12",670
"2020-06-13",629
"2020-06-14",657
"2020-06-15",659
"2020-06-16",728
"2020-06-17",706
"2020-06-18",631
"2020-06-19",613
"2020-06-20",555
"2020-06-21",639
"2020-06-22",633
"2020-06-23",607
"2020-06-24",606
"2020-06-25",585
"2020-06-26",648
"2020-06-27",652
"2020-06-28",643
"2020-06-29",697
"2020-06-30",673
"2020-07-01",652
"2020-07-02",652
"2020-07-03",654
"2020-07-04",695
"2020-07-05",712
"2020-07-06",780
"2020-07-07",775
"2020-07-08",704
"2020-07-09",725
"2020-07-10",689
"2020-07-11",707
"2020-07-12",711
"2020-07-13",781
"2020-07-14",755
"2020-07-15",763
"2020-07-16",772
"2020-07-17",723
"2020-07-18",706
"2020-07-19",765
"2020-07-20",758
"2020-07-21",789
"2020-07-22",691
"2020-07-23",746
"2020-07-24",702
"2020-07-25",737
"2020-07-26",756
"2020-07-27",752
"2020-07-28",733
"2020-07-29",645
"2020-07-30",721
"2020-07-31",650
"2020-08-01",700
"2020-08-02",651
"2020-08-03",713
"2020-08-04",742
"2020-08-05",681
"2020-08-06",664
"2020-08-07",614
"2020-08-08",651
"2020-08-09",626
"2020-08-10",651
"2020-08-11",648
"2020-08-12",583
"2020-08-13",589
"2020-08-14",548
"2020-08-15",547
"2020-08-16",552
"2020-08-17",596
"2020-08-18",530
"2020-08-19",567
"2020-08-20",525
"2020-08-21",530
"2020-08-22",538
"2020-08-23",497
"2020-08-24",511
"2020-08-25",530
"2020-08-26",504
"2020-08-27",474
"2020-08-28",510
"2020-08-29",485
"2020-08-30",507
"2020-08-31",526
"2020-09-01",479
"2020-09-02",475
"2020-09-03",472
"2020-09-04",451
"2020-09-05",431
"2020-09-06",443
"2020-09-07",460
"2020-09-08",417
"2020-09-09",456
"2020-09-10",412
"2020-09-11",415
"2020-09-12",444
"2020-09-13",374
"2020-09-14",432
"2020-09-15",424
"2020-09-16",396
"2020-09-17",381
"2020-09-18",348
"2020-09-19",381
"2020-09-20",404
"2020-09-21",387
"2020-09-22",404
"2020-09-23",379
"2020-09-24",387
"2020-09-25",342
"2020-09-26",367
"2020-09-27",347
"2020-09-28",349
"2020-09-29",347
"2020-09-30",335
"2020-10-01",349
"2020-10-02",345
"2020-10-03",352
"2020-10-04",332
"2020-10-05",357
"2020-10-06",345
"2020-10-07",333
"2020-10-08",331
"2020-10-09",308
"2020-10-10",363
"2020-10-11",346
"2020-10-12",400
"2020-10-13",363
"2020-10-14",352
"2020-10-15",369
"2020-10-16",348
"2020-10-17",373
"2020-10-18",384
"2020-10-19",453
"2020-10-20",397
"2020-10-21",451
"2020-10-22",437
"2020-10-23",422
"2020-10-24",409
"2020-10-25",460
"2020-10-26",462
"2020-10-27",434
"2020-10-28",447
"2020-10-29",445
"2020-10-30",434
"2020-10-31",415
"2020-11-01",424
"2020-11-02",469
"2020-11-03",450
"2020-11-04",454
"2020-11-05",481
"2020-11-06",500
"2020-11-07",434
"2020-11-08",445
"2020-11-09",467
"2020-11-10",441
"2020-11-11",470
"2020-11-12",490
"2020-11-13",457
"2020-11-14",447
"2020-11-15",445
"2020-11-16",467
"2020-11-17",484
"2020-11-18",476
"2020-11-19",447
"2020-11-20",518
"2020-11-21",511
"2020-11-22",567
"2020-11-23",514
"2020-11-24",518
"2020-11-25",509
"2020-11-26",545
"2020-11-27",573
"2020-11-28",521
"2020-11-29",535
"2020-11-30",597
"2020-12-01",621
"2020-12-02",569
"2020-12-03",560
"2020-12-04",548
"2020-12-05",601
"2020-12-06",598
"2020-12-07",626
"2020-12-08",585
"2020-12-09",643
"2020-12-10",615
"2020-12-11",660
"2020-12-12",664
"2020-12-13",667
"2020-12-14",683
"2020-12-15",709
"2020-12-16",688
"2020-12-17",699
"2020-12-18",713
"2020-12-19",748
"2020-12-20",717
"2020-12-21",828
"2020-12-22",745
"2020-12-23",772
"2020-12-24",774
"2020-12-25",765
"2020-12-26",814
"2020-12-27",846
"2020-12-28",873
"2020-12-29",894
"2020-12-30",848
"2020-12-31",801
"2021-01-01",900
"2021-01-02",906
"2021-01-03",912
"2021-01-04",991
"2021-01-05",960
"2021-01-06",1045
"2021-01-07",962
"2021-01-08",1095
"2021-01-09",1039
"2021-01-10",1083
"2021-01-11",1156
"2021-01-12",1103
"2021-01-13",1096
"2021-01-14",1136
"2021-01-15",1150
"2021-01-16",1148
"2021-01-17",1248
"2021-01-18",1266
"2021-01-19",1274
"2021-01-20",1323
"2021-01-21",1237
"2021-01-22",1216
"2021-01-23",1186
"2021-01-24",1244
"2021-01-25",1260
"2021-01-26",1257
"2021-01-27",1149
"2021-01-28",1097
"2021-01-29",1100
"2021-01-30",1075
"2021-01-31",1034
"2021-02-01",1102
"2021-02-02",1054
"2021-02-03",981
"2021-02-04",930
"2021-02-05",886
"2021-02-06",897
"2021-02-07",801
"2021-02-08",921
"2021-02-09",821
"2021-02-10",742
"2021-02-11",757
"2021-02-12",720
"2021-02-13",635
"2021-02-14",657
"2021-02-15",679
"2021-02-16",650
"2021-02-17",632
"2021-02-18",576
"2021-02-19",594
"2021-02-20",510
"2021-02-21",600
"2021-02-22",608
"2021-02-23",498
"2021-02-24",509
"2021-02-25",477
"2021-02-26",458
"2021-02-27",467
"2021-02-28",481
"2021-03-01",477
"2021-03-02",456
"2021-03-03",417
"2021-03-04",410
"2021-03-05",427
"2021-03-06",391
"2021-03-07",387
"2021-03-08",444
"2021-03-09",370
"2021-03-10",403
"2021-03-11",379
"2021-03-12",328
"2021-03-13",343
"2021-03-14",357
"2021-03-15",316
"2021-03-16",295
"2021-03-17",312
"2021-03-18",268
"2021-03-19",259
"2021-03-20",243
"2021-03-21",237
"2021-03-22",202
"2021-03-23",87
"2021-03-24",2
